source,table,page,row_order,label,fiscal_year,value_thousands
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2020,29815935
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2021,31464469
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2022,29582214
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2023,31644665
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2024,32987024
acfr2025,fund_balances,424,1,Revenues: Real estate taxes,2025,34756900
acfr2025,fund_balances,424,2,Sales and use taxes,2020,8478110
acfr2025,fund_balances,424,2,Sales and use taxes,2021,7602688
acfr2025,fund_balances,424,2,Sales and use taxes,2022,10008292
acfr2025,fund_balances,424,2,Sales and use taxes,2023,10585017
acfr2025,fund_balances,424,2,Sales and use taxes,2024,10666812
acfr2025,fund_balances,424,2,Sales and use taxes,2025,11264198
acfr2025,fund_balances,424,3,Personal income tax,2020,13591179
acfr2025,fund_balances,424,3,Personal income tax,2021,15140380
acfr2025,fund_balances,424,3,Personal income tax,2022,16733563
acfr2025,fund_balances,424,3,Personal income tax,2023,14828978
acfr2025,fund_balances,424,3,Personal income tax,2024,14052723
acfr2025,fund_balances,424,3,Personal income tax,2025,16102462
acfr2025,fund_balances,424,4,"Income taxes, other",2020,7861996
acfr2025,fund_balances,424,4,"Income taxes, other",2021,8594422
acfr2025,fund_balances,424,4,"Income taxes, other",2022,9523327
acfr2025,fund_balances,424,4,"Income taxes, other",2023,12712713
acfr2025,fund_balances,424,4,"Income taxes, other",2024,12771686
acfr2025,fund_balances,424,4,"Income taxes, other",2025,14119409
acfr2025,fund_balances,424,5,Other taxes,2020,3342452
acfr2025,fund_balances,424,5,Other taxes,2021,2731908
acfr2025,fund_balances,424,5,Other taxes,2022,3749483
acfr2025,fund_balances,424,5,Other taxes,2023,3665405
acfr2025,fund_balances,424,5,Other taxes,2024,3698485
acfr2025,fund_balances,424,5,Other taxes,2025,4072491
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2020,26445858
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2021,28808959
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2022,32209200
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2023,28505195
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2024,32425219
acfr2025,fund_balances,424,6,"Federal, State and other categorical aid",2025,30725597
acfr2025,fund_balances,424,7,Unrestricted Federal and State aid,2020,180861
acfr2025,fund_balances,424,7,Unrestricted Federal and State aid,2021,46968
acfr2025,fund_balances,424,7,Unrestricted Federal and State aid,2022,498400
acfr2025,fund_balances,424,7,Unrestricted Federal and State aid,2023,186282
