fiscal_year,measure,category,amount_thousands,population,cpi_ny_metro,deflator_to_fy2025
2000,operating,city_university,383851,8017608,179.6167,1.89553
2000,operating,education,10674457,8017608,179.6167,1.89553
2000,operating,environmental,1398196,8017608,179.6167,1.89553
2000,operating,fringe_benefits,2065166,8017608,179.6167,1.89553
2000,operating,general_government,1043124,8017608,179.6167,1.89553
2000,operating,health,1777299,8017608,179.6167,1.89553
2000,operating,housing,428644,8017608,179.6167,1.89553
2000,operating,judgments,490669,8017608,179.6167,1.89553
2000,operating,lease_payments,0,8017608,179.6167,1.89553
2000,operating,libraries,232522,8017608,179.6167,1.89553
2000,operating,other_misc,-48848,8017608,179.6167,1.89553
2000,operating,parks,288517,8017608,179.6167,1.89553
2000,operating,pensions,615085,8017608,179.6167,1.89553
2000,operating,public_safety,5648618,8017608,179.6167,1.89553
2000,operating,social_services,8329814,8017608,179.6167,1.89553
2000,operating,transportation,763337,8017608,179.6167,1.89553
2000,operating,debt_service,3789435,8017608,179.6167,1.89553
2000,capital,education,1310043,8017608,179.6167,1.89553
2000,capital,environmental,914984,8017608,179.6167,1.89553
2000,capital,general_government,368199,8017608,179.6167,1.89553
2000,capital,health,75558,8017608,179.6167,1.89553
2000,capital,housing,289845,8017608,179.6167,1.89553
2000,capital,libraries,20947,8017608,179.6167,1.89553
2000,capital,other_capital,138351,8017608,179.6167,1.89553
2000,capital,parks,262070,8017608,179.6167,1.89553
2000,capital,public_safety,522927,8017608,179.6167,1.89553
2000,capital,social_services,0,8017608,179.6167,1.89553
2000,capital,transportation,906559,8017608,179.6167,1.89553
2000,capital,capital_aid_revenue,312537,8017608,179.6167,1.89553
2000,revenue,business_taxes,3589022,8017608,179.6167,1.89553
2000,revenue,charges_for_services,1400506,8017608,179.6167,1.89553
2000,revenue,disallowances,-5000,8017608,179.6167,1.89553
2000,revenue,federal_aid,4417224,8017608,179.6167,1.89553
2000,revenue,fines_forfeitures,468467,8017608,179.6167,1.89553
2000,revenue,investment_income,194753,8017608,179.6167,1.89553
2000,revenue,licenses_permits,328926,8017608,179.6167,1.89553
2000,revenue,other_financing,0,8017608,179.6167,1.89553
2000,revenue,other_grants,431426,8017608,179.6167,1.89553
2000,revenue,other_revenues,448975,8017608,179.6167,1.89553
2000,revenue,other_taxes,1261322,8017608,179.6167,1.89553
2000,revenue,personal_income_tax,5364597,8017608,179.6167,1.89553
2000,revenue,property_tax,7849962,8017608,179.6167,1.89553
2000,revenue,sales_tax,4159944,8017608,179.6167,1.89553
2000,revenue,state_aid,7061723,8017608,179.6167,1.89553
2000,revenue,tax_penalties,34135,8017608,179.6167,1.89553
2000,revenue,tobacco_settlement,247364,8017608,179.6167,1.89553
2000,revenue,unrestricted_aid,631225,8017608,179.6167,1.89553
2000,borrowing,bond_premium,0,8017608,179.6167,1.89553
2000,borrowing,bonds_issued,3125230,8017608,179.6167,1.89553
2000,borrowing,refunding_debt,65828,8017608,179.6167,1.89553
